kanban_id,work_order_id,sales_order_id,part_no,work_center_id,process_id,process_seq,expected_start_time,actual_start_time,produce_status,planned_today_flag,started_today_flag,overdue_not_started_so_far_flag,overdue_4h_not_started_flag,started_on_time_today_flag,started_late_today_flag
S-W-20250925110500569-0006,T20-000963930,S11-250900015^1,32600606,1902,S1,10,2025-10-29 08:03:40,,0,1,0,1,1,0,0
S-W-20250925110500569-0011,T20-000963901,S11-250900015^1,30200550,1902,S1,10,2025-10-29 08:03:40,,0,1,0,1,1,0,0
S-W-20250925110500569-0013,T20-000963900,S11-250900015^1,30200549,1902,S1,10,2025-10-29 08:03:40,,0,1,0,1,1,0,0
S-W-20250925110500569-0015,T20-000963899,S11-250900015^1,30200547,1902,S1,10,2025-10-29 08:03:40,,0,1,0,1,1,0,0
S-W-20250925110500569-0018,T20-000963898,S11-250900015^1,30200546,1902,S1,10,2025-10-29 08:03:40,,0,1,0,1,1,0,0
S-W-20250923163558460-0033,T20-000965017,S11-250900022^1,33100866,1902,S1,10,2025-10-29 14:45:38,,0,1,0,1,1,0,0
S-W-20250923163558460-0042,T20-000965016,S11-250900022^1,33100865,1902,S1,10,2025-10-29 14:45:38,,0,1,0,1,1,0,0
S-W-20250930204710008-0045,T20-000965439,S11-250800033^6,33103039,1902,S1,10,2025-10-29 15:02:45,,0,1,0,1,1,0,0
S-W-20250923163611689-0091,T20-000965267,S11-250800033^3,32600536,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250923163611689-0092,T20-000965266,S11-250800033^3,32600535,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250925110445215-0002,T20-000963754,S11-250800038^5,32600585,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250925110445215-0003,T20-000963759,S11-250800038^5,34100291,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250925110445215-0008,T20-000963760,S11-250800038^5,34100292,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250925110445215-0024,T20-000963748,S11-250800038^5,30200625,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250925110445215-0026,T20-000963749,S11-250800038^5,30200626,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250925110545258-0059,T20-000965590,S11-250800036^1,32600092,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250930204641093-0002,T20-000963760,S11-250800038^5,34100292,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250930204641093-0007,T20-000963759,S11-250800038^5,34100291,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250930204641093-0013,T20-000963754,S11-250800038^5,32600585,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250930204641093-0015,T20-000963749,S11-250800038^5,30200626,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250930204641093-0017,T20-000963748,S11-250800038^5,30200625,1902,S1,10,2025-10-29 15:50:00,,0,1,0,1,1,0,0
S-W-20250930204707728-0080,T20-000965266,S11-250800033^3,32600535,1902,S1,10,2025-10-29 15:54:07,,0,1,0,1,1,0,0
S-W-20250930204707728-0081,T20-000965267,S11-250800033^3,32600536,1902,S1,10,2025-10-29 15:54:07,,0,1,0,1,1,0,0
S-W-20250923163602710-0003,T10-000633342,S11-250800036^2,21030874,1A,T010,10,2025-10-29 07:50:00,,0,1,0,1,1,0,0
