kanban_id,work_order_id,sales_order_id,part_no,work_center_id,process_id,process_seq,expected_start_time,actual_start_time,produce_status,planned_today_flag,started_today_flag,overdue_not_started_so_far_flag,overdue_4h_not_started_flag,started_on_time_today_flag,started_late_today_flag
S-W-20250923163543531-0004,T20-000964044,S11-250900017^2,33700577,1902,S1,10,2025-10-27 00:03:49.400,,0,1,0,1,1,0,0
S-W-20250923163543531-0005,T20-000964043,S11-250900017^2,33700572,1902,S1,10,2025-10-27 00:03:49.400,,0,1,0,1,1,0,0
S-W-20250923163543531-0006,T20-000964040,S11-250900017^2,32600628,1902,S1,10,2025-10-27 00:03:49.400,,0,1,0,1,1,0,0
S-W-20250923163543531-0019,T20-000964010,S11-250900017^2,30200540,1902,S1,10,2025-10-27 00:03:49.400,,0,1,0,1,1,0,0
S-W-20250923163543531-0022,T20-000964009,S11-250900017^2,30200539,1902,S1,10,2025-10-27 00:03:49.400,,0,1,0,1,1,0,0
S-W-20250923163543531-0025,T20-000964008,S11-250900017^2,30200535,1902,S1,10,2025-10-27 00:03:49.400,,0,1,0,1,1,0,0
S-W-20250923163543531-0031,T20-000964007,S11-250900017^2,30200534,1902,S1,10,2025-10-27 00:03:49.400,,0,1,0,1,1,0,0
S-W-20250925110500569-0022,T20-000963934,S11-250900015^1,33700578,1902,S1,10,2025-10-27 00:19:48.800,,0,1,0,1,1,0,0
S-W-20250925110500569-0023,T20-000963933,S11-250900015^1,33700574,1902,S1,10,2025-10-27 00:19:48.800,,0,1,0,1,1,0,0
S-W-20250923163610579-0062,T20-000965199,S11-250800033^2,32600497,1902,S1,10,2025-10-27 00:30:10.200,,0,1,0,1,1,0,0
S-W-20250930204650310-0016,T20-000963931,S11-250900015^1,33100870,1902,S1,10,2025-10-27 02:04:49.400,,0,1,0,1,1,0,0
S-W-20250930204650310-0019,T20-000963932,S11-250900015^1,33100871,1902,S1,10,2025-10-27 02:04:49.400,,0,1,0,1,1,0,0
S-W-20250923163553431-0060,T20-000964553,S11-250900027^1,33100665,1902,S1,10,2025-10-27 02:16:00.400,,0,1,0,1,1,0,0
S-W-20250923163544191-0006,T20-000963930,S11-250900015^1,32600606,1902,S1,10,2025-10-27 03:14:49.400,,0,1,0,1,1,0,0
S-W-20250923163544191-0022,T20-000963901,S11-250900015^1,30200550,1902,S1,10,2025-10-27 03:14:49.400,,0,1,0,1,1,0,0
S-W-20250923163544191-0025,T20-000963900,S11-250900015^1,30200549,1902,S1,10,2025-10-27 03:14:49.400,,0,1,0,1,1,0,0
S-W-20250923163544191-0028,T20-000963899,S11-250900015^1,30200547,1902,S1,10,2025-10-27 03:14:49.400,,0,1,0,1,1,0,0
S-W-20250923163544191-0034,T20-000963898,S11-250900015^1,30200546,1902,S1,10,2025-10-27 03:14:49.400,,0,1,0,1,1,0,0
S-W-20250925110445215-0027,T20-000963755,S11-250800038^5,33103039,1902,S1,10,2025-10-27 05:20:00.000,,0,1,0,1,1,0,0
S-W-20250930204641093-0018,T20-000963755,S11-250800038^5,33103039,1902,S1,10,2025-10-27 05:20:00.000,,0,1,0,1,1,0,0
S-W-20250930204640193-0005,T20-000963645,S11-250800038^3,33100776,1902,S1,10,2025-10-27 06:18:31.000,,0,1,0,1,1,0,0
S-W-20250930204640193-0006,T20-000963644,S11-250800038^3,33100775,1902,S1,10,2025-10-27 06:18:31.000,,0,1,0,1,1,0,0
S-W-20250923163527704-0004,T20-000963758,S11-250800038^5,34100271,1902,S1,10,2025-10-27 06:30:00.000,,0,1,0,1,1,0,0
S-W-20250923163527704-0011,T20-000963757,S11-250800038^5,34100269,1902,S1,10,2025-10-27 06:30:00.000,,0,1,0,1,1,0,0
S-W-20250930204640543-0008,T20-000963705,S11-250800038^4,32600502,1902,S1,10,2025-10-27 06:36:47.400,,2,1,0,1,1,0,0
S-W-20250930204640543-0014,T20-000963692,S11-250800038^4,30200458,1902,S1,10,2025-10-27 06:36:47.400,,0,1,0,1,1,0,0
S-W-20250930204640543-0017,T20-000963691,S11-250800038^4,30200457,1902,S1,10,2025-10-27 06:36:47.400,,0,1,0,1,1,0,0
S-W-20250930204640543-0021,T20-000963690,S11-250800038^4,30200456,1902,S1,10,2025-10-27 06:36:47.400,,2,1,0,1,1,0,0
S-W-20250930204640543-0023,T20-000963689,S11-250800038^4,30200455,1902,S1,10,2025-10-27 06:36:47.400,,2,1,0,1,1,0,0
S-W-20250916195706222-0057,T20-000964269,S11-250900021^1,33100871,1902,S1,10,2025-10-27 06:45:52.800,,0,1,0,1,1,0,0
S-W-20250916195706222-0066,T20-000964268,S11-250900021^1,33100870,1902,S1,10,2025-10-27 06:45:52.800,,0,1,0,1,1,0,0
S-W-20250930204745896-0026,T20-000965953,S1A-250900015^2,33100748,1902,S1,10,2025-10-27 07:03:31.200,,0,1,0,1,1,0,0
S-W-20250923163547791-0011,T20-000964368,S1A-250900009^1,33100669,1902,S1,10,2025-10-27 07:04:14.600,,0,1,0,1,1,0,0
S-W-20250923163547791-0012,T20-000964367,S1A-250900009^1,32600481,1902,S1,10,2025-10-27 07:04:14.600,,0,1,0,1,1,0,0
S-W-20250930204643413-0005,T20-000962758,S11-250800032^3,33100776,1902,S1,10,2025-10-27 07:10:34.800,,0,1,0,1,1,0,0
S-W-20250930204643413-0006,T20-000962757,S11-250800032^3,33100775,1902,S1,10,2025-10-27 07:10:34.800,,0,1,0,1,1,0,0
S-W-20250923163548321-0002,T20-000964431,S1A-250900009^2,33100801,1902,S1,10,2025-10-27 07:21:36.400,,0,1,0,1,1,0,0
S-W-20250923163548321-0003,T20-000964430,S1A-250900009^2,32600552,1902,S1,10,2025-10-27 07:21:36.400,,0,1,0,1,1,0,0
S-W-20250925110444595-0012,T20-000963706,S11-250800038^4,33100829,1902,S1,10,2025-10-27 07:28:52.800,,0,1,0,1,1,0,0
S-W-20250923163551071-0006,T20-000964491,S1A-250900009^6,33100903,1902,S1,10,2025-10-27 07:47:00.200,,0,1,0,1,1,0,0
S-W-20250923163551071-0007,T20-000964490,S1A-250900009^6,33100902,1902,S1,10,2025-10-27 07:47:00.200,,0,1,0,1,1,0,0
S-W-20250923163551071-0013,T20-000964489,S1A-250900009^6,32600616,1902,S1,10,2025-10-27 07:47:00.200,,0,1,0,1,1,0,0
S-W-20250925110459819-0014,T20-000964042,S11-250900017^2,33100866,1902,S1,10,2025-10-27 07:52:40.200,,0,1,0,1,1,0,0
S-W-20250925110459819-0017,T20-000964041,S11-250900017^2,33100865,1902,S1,10,2025-10-27 07:52:40.200,,0,1,0,1,1,0,0
S-W-20250923163601810-0066,T20-000965590,S11-250800036^1,32600092,1902,S1,10,2025-10-27 11:10:00.000,,0,1,0,1,0,0,0
S-W-20250930204656841-0023,T20-000965659,S11-250800036^2,32600535,1902,S1,10,2025-10-27 11:10:00.000,,0,1,0,1,0,0,0
S-W-20250930204656841-0024,T20-000965660,S11-250800036^2,32600536,1902,S1,10,2025-10-27 11:10:00.000,,0,1,0,1,0,0,0
S-W-20250925110502382-0010,T20-000964124,S1A-241200023^1,33100786,1902,S1,10,2025-10-27 11:12:14.400,,0,1,0,1,0,0,0
S-W-20250925110502382-0011,T20-000964123,S1A-241200023^1,32600530,1902,S1,10,2025-10-27 11:12:14.400,,0,1,0,1,0,0,0
S-W-20250925110455499-0005,T20-000962758,S11-250800032^3,33100776,1902,S1,10,2025-10-27 11:18:31.000,,0,1,0,1,0,0,0
S-W-20250925110455499-0006,T20-000962757,S11-250800032^3,33100775,1902,S1,10,2025-10-27 11:18:31.000,,0,1,0,1,0,0,0
S-W-20250930204747283-0021,T20-000964553,S11-250900027^1,33100665,1902,S1,10,2025-10-27 11:20:11.200,,0,1,0,1,0,0,0
S-W-20250925110500569-0016,T20-000963932,S11-250900015^1,33100871,1902,S1,10,2025-10-27 11:23:40.200,,0,1,0,1,0,0,0
S-W-20250925110500569-0019,T20-000963931,S11-250900015^1,33100870,1902,S1,10,2025-10-27 11:23:40.200,,0,1,0,1,0,0,0
S-W-20250930204659668-0019,T20-000965721,S11-250800036^3,32600530,1902,S1,10,2025-10-27 11:29:45.000,,0,1,0,1,0,0,0
S-W-20250925110513126-0016,T20-000964553,S11-250900027^1,33100665,1902,S1,10,2025-10-27 11:59:38.400,,0,1,0,1,0,0,0
S-W-20250923163544931-0003,T10-000632492,S11-250900015^2,21210524,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163601170-0042,T10-000632647,S11-250900021^2,21210386,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163605369-0025,T10-000633418,S11-250800036^5,21210435,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163606249-0005,T10-000633467,S11-250800036^6,21060133,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110444145-0020,T10-000632387,S11-250800038^3,21030874,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110501802-0003,T10-000632492,S11-250900015^2,21210524,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110609659-0013,T10-000633375,S11-250800036^3,21030908,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110609659-0015,T10-000633374,S11-250800036^3,21030906,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110609659-0017,T10-000633373,S11-250800036^3,21030905,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110609659-0019,T10-000633372,S11-250800036^3,21030898,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110609659-0021,T10-000633371,S11-250800036^3,21030896,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110609659-0023,T10-000633370,S11-250800036^3,21030895,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204702796-0063,T10-000633435,S11-250800036^9,21030132,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204702796-0065,T10-000633436,S11-250800036^9,21030135,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204702796-0067,T10-000633437,S11-250800036^9,21030809,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204702796-0069,T10-000633438,S11-250800036^9,21030813,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204702796-0071,T10-000633439,S11-250800036^9,21030919,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204702796-0076,T10-000633440,S11-250800036^9,21030923,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204705240-0053,T10-000633100,S11-250800033^1,21030429,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204705240-0055,T10-000633101,S11-250800033^1,21030430,1A,T010,10,2025-10-26 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204705240-0087,T10-000633109,S11-250800033^1,21420119,1A,T010,10,2025-10-26 23:51:51.600,,0,1,0,1,1,0,0
S-W-20250930204705240-0089,T10-000633110,S11-250800033^1,21420120,1A,T010,10,2025-10-26 23:57:04.800,,0,1,0,1,1,0,0
S-W-20250925110609659-0025,T10-000633369,S11-250800036^3,21030894,1A,T010,10,2025-10-26 23:57:37.200,,0,1,0,1,1,0,0
