kanban_id,work_order_id,sales_order_id,part_no,work_center_id,process_id,process_seq,expected_start_time,actual_start_time,produce_status,planned_today_flag,started_today_flag,overdue_not_started_so_far_flag,overdue_4h_not_started_flag,started_on_time_today_flag,started_late_today_flag
S-W-20250930204636473-0002,T20-000962530,S11-250800042^2,33100783,1902,S1,10,2025-10-22 23:56:34.600,,0,1,0,1,1,0,0
S-W-20250930204650310-0008,T20-000963933,S11-250900015^1,33700574,1902,S1,10,2025-10-23 00:32:06.800,,0,1,0,1,1,0,0
S-W-20250930204650310-0009,T20-000963934,S11-250900015^1,33700578,1902,S1,10,2025-10-23 00:32:06.800,,0,1,0,1,1,0,0
S-W-20250930204639203-0002,T20-000962464,S11-250800041^14,33100801,1902,S1,10,2025-10-23 00:46:12.800,,2,1,0,1,1,0,0
S-W-20250923163544191-0029,T20-000963932,S11-250900015^1,33100871,1902,S1,10,2025-10-23 02:04:49.400,,0,1,0,1,1,0,0
S-W-20250923163544191-0035,T20-000963931,S11-250900015^1,33100870,1902,S1,10,2025-10-23 02:04:49.400,,0,1,0,1,1,0,0
S-W-20250923163527704-0034,T20-000963755,S11-250800038^5,33103039,1902,S1,10,2025-10-23 05:20:00.000,,0,1,0,1,1,0,0
S-W-20250930204640543-0024,T20-000963706,S11-250800038^4,33100829,1902,S1,10,2025-10-23 05:26:47.400,,2,1,0,1,1,0,0
S-W-20250925110439725-0003,T20-000962531,S11-250800042^1,33100784,1902,S1,10,2025-10-23 05:39:23.600,,0,1,0,1,1,0,0
S-W-20250923163525243-0058,T20-000963644,S11-250800038^3,33100775,1902,S1,10,2025-10-23 06:18:31.000,,0,1,0,1,1,0,0
S-W-20250923163525243-0059,T20-000963645,S11-250800038^3,33100776,1902,S1,10,2025-10-23 06:18:31.000,,0,1,0,1,1,0,0
S-W-20250923163526633-0002,T20-000963689,S11-250800038^4,30200455,1902,S1,10,2025-10-23 06:36:47.400,,0,1,0,1,1,0,0
S-W-20250923163526633-0004,T20-000963690,S11-250800038^4,30200456,1902,S1,10,2025-10-23 06:36:47.400,,0,1,0,1,1,0,0
S-W-20250923163526633-0006,T20-000963691,S11-250800038^4,30200457,1902,S1,10,2025-10-23 06:36:47.400,,0,1,0,1,1,0,0
S-W-20250923163526633-0009,T20-000963692,S11-250800038^4,30200458,1902,S1,10,2025-10-23 06:36:47.400,,0,1,0,1,1,0,0
S-W-20250923163526633-0027,T20-000963705,S11-250800038^4,32600502,1902,S1,10,2025-10-23 06:36:47.400,,0,1,0,1,1,0,0
S-W-20250925110440045-0003,T20-000962530,S11-250800042^2,33100783,1902,S1,10,2025-10-23 07:05:58.200,,0,1,0,1,1,0,0
S-W-20250923163534224-0005,T20-000962758,S11-250800032^3,33100776,1902,S1,10,2025-10-23 07:10:34.800,,0,1,0,1,1,0,0
S-W-20250923163534224-0006,T20-000962757,S11-250800032^3,33100775,1902,S1,10,2025-10-23 07:10:34.800,,0,1,0,1,1,0,0
S-W-20250925110442765-0005,T20-000962464,S11-250800041^14,33100801,1902,S1,10,2025-10-23 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250916195659532-0060,T20-000964553,S11-250900027^1,33100665,1902,S1,10,2025-10-23 11:10:00.000,,0,1,0,1,0,0,0
S-W-20250925110443545-0020,T20-000963576,S11-250800038^2,33100726,1902,S1,10,2025-10-23 11:10:00.000,,0,1,0,1,0,0,0
S-W-20250925110444145-0029,T20-000963642,S11-250800038^3,32600535,1902,S1,10,2025-10-23 11:10:00.000,,0,1,0,1,0,0,0
S-W-20250925110444145-0030,T20-000963643,S11-250800038^3,32600536,1902,S1,10,2025-10-23 11:10:00.000,,0,1,0,1,0,0,0
S-W-20250930204634733-0004,T20-000961967,S11-250800006^1,32600606,1902,S1,10,2025-10-23 11:10:00.000,,0,1,0,1,0,0,0
S-W-20250930204634733-0009,T20-000961938,S11-250800006^1,30200550,1902,S1,10,2025-10-23 11:10:00.000,,0,1,0,1,0,0,0
S-W-20250930204634733-0010,T20-000961937,S11-250800006^1,30200549,1902,S1,10,2025-10-23 11:10:00.000,,0,1,0,1,0,0,0
S-W-20250930204634733-0011,T20-000961936,S11-250800006^1,30200547,1902,S1,10,2025-10-23 11:10:00.000,,0,1,0,1,0,0,0
S-W-20250930204634733-0013,T20-000961935,S11-250800006^1,30200546,1902,S1,10,2025-10-23 11:10:00.000,,0,1,0,1,0,0,0
S-W-20250930204711598-0009,T20-000964123,S1A-241200023^1,32600530,1902,S1,10,2025-10-23 11:15:33.600,,0,1,0,1,0,0,0
S-W-20250930204711598-0010,T20-000964124,S1A-241200023^1,33100786,1902,S1,10,2025-10-23 11:15:33.600,,0,1,0,1,0,0,0
S-W-20250916195706222-0003,T20-000964272,S11-250900021^1,33700578,1902,S1,10,2025-10-23 11:20:14.400,,0,1,0,1,0,0,0
S-W-20250916195706222-0004,T20-000964271,S11-250900021^1,33700574,1902,S1,10,2025-10-23 11:20:14.400,,0,1,0,1,0,0,0
S-W-20250930204648419-0020,T20-000964041,S11-250900017^2,33100865,1902,S1,10,2025-10-23 11:23:49.400,,0,1,0,1,0,0,0
S-W-20250930204648419-0023,T20-000964042,S11-250900017^2,33100866,1902,S1,10,2025-10-23 11:23:49.400,,0,1,0,1,0,0,0
S-W-20250916195652852-0011,T20-000964368,S1A-250900009^1,33100669,1902,S1,10,2025-10-23 11:49:16.200,,0,1,0,1,0,0,0
S-W-20250916195652852-0012,T20-000964367,S1A-250900009^1,32600481,1902,S1,10,2025-10-23 11:49:16.200,,0,1,0,1,0,0,0
S-W-20250923163602710-0066,T20-000965660,S11-250800036^2,32600536,1902,S1,10,2025-10-23 11:54:00.000,,0,1,0,1,0,0,0
S-W-20250923163602710-0067,T20-000965659,S11-250800036^2,32600535,1902,S1,10,2025-10-23 11:54:00.000,,0,1,0,1,0,0,0
S-W-20250925110445705-0013,T20-000963827,S11-250800038^6,32600645,1902,S1,10,2025-10-23 11:56:58.000,,0,1,0,1,0,0,0
S-W-20250925110445705-0014,T20-000963828,S11-250800038^6,33100952,1902,S1,10,2025-10-23 11:56:58.000,,0,1,0,1,0,0,0
S-W-20250916195656722-0006,T20-000964491,S1A-250900009^6,33100903,1902,S1,10,2025-10-23 12:06:38.000,,0,1,0,1,0,0,0
S-W-20250916195656722-0007,T20-000964490,S1A-250900009^6,33100902,1902,S1,10,2025-10-23 12:06:38.000,,0,1,0,1,0,0,0
S-W-20250916195656722-0013,T20-000964489,S1A-250900009^6,32600616,1902,S1,10,2025-10-23 12:06:38.000,,0,1,0,1,0,0,0
S-W-20250923163603600-0064,T20-000965721,S11-250800036^3,32600530,1902,S1,10,2025-10-23 12:13:45.000,,0,1,0,1,0,0,0
S-W-20250916195648872-0010,T10-000632492,S11-250900015^2,21210524,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250916195707062-0049,T10-000632647,S11-250900021^2,21210386,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163603600-0018,T10-000633375,S11-250800036^3,21030908,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163603600-0020,T10-000633374,S11-250800036^3,21030906,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163603600-0022,T10-000633373,S11-250800036^3,21030905,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163603600-0024,T10-000633372,S11-250800036^3,21030898,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163603600-0026,T10-000633371,S11-250800036^3,21030896,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163603600-0028,T10-000633370,S11-250800036^3,21030895,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163603600-0030,T10-000633369,S11-250800036^3,21030894,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163603600-0032,T10-000633368,S11-250800036^3,21030893,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110455499-0003,T10-000631873,S11-250800032^3,21030874,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110545258-0008,T10-000633309,S11-250800036^1,21030813,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110545258-0010,T10-000633308,S11-250800036^1,21030811,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110545258-0012,T10-000633306,S11-250800036^1,21030809,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110545258-0014,T10-000633305,S11-250800036^1,21030806,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110545258-0016,T10-000633304,S11-250800036^1,21030805,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110545258-0018,T10-000633303,S11-250800036^1,21030804,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110545258-0020,T10-000633302,S11-250800036^1,21030244,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204659668-0051,T10-000633367,S11-250800036^3,21030892,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204659668-0053,T10-000633368,S11-250800036^3,21030893,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204659668-0055,T10-000633369,S11-250800036^3,21030894,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204659668-0057,T10-000633370,S11-250800036^3,21030895,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204659668-0059,T10-000633371,S11-250800036^3,21030896,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204659668-0061,T10-000633372,S11-250800036^3,21030898,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204659668-0063,T10-000633373,S11-250800036^3,21030905,1A,T010,10,2025-10-22 23:50:00.000,,0,1,0,1,1,0,0
