kanban_id,work_order_id,sales_order_id,part_no,work_center_id,process_id,process_seq,expected_start_time,actual_start_time,produce_status,planned_today_flag,started_today_flag,overdue_not_started_so_far_flag,overdue_4h_not_started_flag,started_on_time_today_flag,started_late_today_flag
S-W-20250923163526633-0012,T20-000963706,S11-250800038^4,33100829,1902,S1,10,2025-10-22 01:36:47.400,,0,1,0,1,1,0,0
S-W-20250916195554903-0002,T20-000962530,S11-250800042^2,33100783,1902,S1,10,2025-10-22 01:49:23.600,,0,1,0,1,1,0,0
S-W-20250916195635751-0101,T20-000962757,S11-250800032^3,33100775,1902,S1,10,2025-10-22 02:34:49.200,,0,1,0,1,1,0,0
S-W-20250916195635751-0102,T20-000962758,S11-250800032^3,33100776,1902,S1,10,2025-10-22 02:34:49.200,,0,1,0,1,1,0,0
S-W-20250916195647012-0028,T20-000964044,S11-250900017^2,33700577,1902,S1,10,2025-10-22 02:47:03.800,,0,1,0,1,1,0,0
S-W-20250916195647012-0029,T20-000964043,S11-250900017^2,33700572,1902,S1,10,2025-10-22 02:47:03.800,,0,1,0,1,1,0,0
S-W-20250916195647012-0030,T20-000964040,S11-250900017^2,32600628,1902,S1,10,2025-10-22 02:47:03.800,,0,1,0,1,1,0,0
S-W-20250916195647012-0044,T20-000964010,S11-250900017^2,30200540,1902,S1,10,2025-10-22 02:47:03.800,,0,1,0,1,1,0,0
S-W-20250916195647012-0050,T20-000964009,S11-250900017^2,30200539,1902,S1,10,2025-10-22 02:47:03.800,,0,1,0,1,1,0,0
S-W-20250916195647012-0056,T20-000964008,S11-250900017^2,30200535,1902,S1,10,2025-10-22 02:47:03.800,,0,1,0,1,1,0,0
S-W-20250916195647012-0065,T20-000964007,S11-250900017^2,30200534,1902,S1,10,2025-10-22 02:47:03.800,,0,1,0,1,1,0,0
S-W-20250916195653622-0002,T20-000964431,S1A-250900009^2,33100801,1902,S1,10,2025-10-22 06:08:03.800,,0,1,0,1,1,0,0
S-W-20250916195653622-0003,T20-000964430,S1A-250900009^2,32600552,1902,S1,10,2025-10-22 06:08:03.800,,0,1,0,1,1,0,0
S-W-20250930204634733-0012,T20-000961969,S11-250800006^1,33100871,1902,S1,10,2025-10-22 06:30:00.000,,0,1,0,1,1,0,0
S-W-20250930204634733-0014,T20-000961968,S11-250800006^1,33100870,1902,S1,10,2025-10-22 06:30:00.000,,0,1,0,1,1,0,0
S-W-20250916195647822-0027,T20-000963930,S11-250900015^1,32600606,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250916195647822-0043,T20-000963901,S11-250900015^1,30200550,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250916195647822-0049,T20-000963900,S11-250900015^1,30200549,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250916195647822-0055,T20-000963899,S11-250900015^1,30200547,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250916195647822-0064,T20-000963898,S11-250900015^1,30200546,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163443333-0017,T20-000961935,S11-250800006^1,30200546,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163443333-0020,T20-000961936,S11-250800006^1,30200547,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163443333-0023,T20-000961937,S11-250800006^1,30200549,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163443333-0029,T20-000961938,S11-250800006^1,30200550,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250923163443333-0042,T20-000961967,S11-250800006^1,32600606,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110439015-0009,T20-000961935,S11-250800006^1,30200546,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110439015-0010,T20-000961936,S11-250800006^1,30200547,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110439015-0011,T20-000961937,S11-250800006^1,30200549,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110439015-0013,T20-000961938,S11-250800006^1,30200550,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110439015-0019,T20-000961967,S11-250800006^1,32600606,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204635993-0003,T20-000962531,S11-250800042^1,33100784,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204640193-0030,T20-000963643,S11-250800038^3,32600536,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250930204640193-0031,T20-000963642,S11-250800038^3,32600535,1902,S1,10,2025-10-22 07:50:00.000,,0,1,0,1,1,0,0
S-W-20250925110513126-0021,T20-000964552,S11-250900027^1,32600593,1902,S1,10,2025-10-22 07:56:07.200,,0,1,0,1,1,0,0
